"CAPM_Beta ?@?~ -- 20171229,20161230,20151231,20141231",,,,
,,,,
?????N?X,29/12/2017,30/12/2016,31/12/2015,31/12/2014
2637 ?z?v-KY,0.3891,0.1731,0.3231,0.3725
2642 ?v?t?q,0.3177,0.6462,1.1534,0.7308
2701 ?U??,0.2167,0.2708,0.4043,0.3457
2702 ????,0.1244,0.3358,0.341,0.4782
2704 ????,0.3893,0.286,0.4265,0.5468
2705 ????,0.1851,0.495,0.6914,0.73
2706 ???@??,0.1687,0.2199,0.252,0.2748
2707 ????,0.1365,0.1385,0.6749,0.5801
2712 ??????,0.0806,0.2786,0.3475,0.4399
2722 ?L??,-0.0499,0.0566,0.1506,0.2328
2723 ????-KY,0.848,0.6429,0.4532,0.3574
2727 ???~,0.6795,0.8974,0.8499,0.6195
2731 ????,0.8485,0.8661,0.8813,0.7882
2739 ?H??,0.342,0.2983,NA,NA
2748 ???~,0.4901,NA,NA,NA
2801 ????,0.5496,0.7744,0.7176,0.8659
2809 ??????,0.639,0.7987,0.7394,0.5343
2812 ?x????,0.3665,0.4059,0.4851,0.3963
2816 ?????O,1.3145,0.7757,1.1479,1.1319
2820 ????,0.1464,0.1276,0.1747,0.1646
2823 ????,0.7956,1.0607,1.2922,0.9817
2832 ?x??,0.2114,0.328,0.4947,0.3633
2834 ?O????,0.4016,0.6486,0.6404,0.5596
2836 ??????,0.4999,0.4275,0.3767,0.3275
2838 ?p????,0.2931,0.4263,0.4188,0.3762
2841 ?x?},0.5294,0.3813,0.796,0.168
2845 ???F??,0.3246,0.4418,0.4657,0.4533
2849 ?w????,0.3454,0.7956,0.5028,0.5869
2850 ?s??,0.2247,0.3501,0.4434,0.5319
2851 ???A?O,0.1433,0.1936,0.4179,0.4158
2852 ???@?O,0.5203,0.3664,0.4221,0.0976
2855 ???@??,1.034,0.9801,1.1157,0.8538
2856 ???I??,0.7473,0.5424,0.7395,0.7112
2867 ?T????,0.4939,0.5849,0.5941,0.4962
2880 ???n??,0.5519,0.785,0.7439,0.7543
2881 ?I????,0.8272,1.2691,1.1086,1.2617
2882 ??????,1.0522,1.3729,1.1784,1.2795
2883 ?}?o??,0.8143,1.0656,1.3312,0.9919
2884 ???s??,0.5077,0.9471,0.713,0.8215
2885 ???j??,0.9821,1.1931,1.1964,1.142
